"unique_trial","filename","tmin","tmax","label","label_error","RepNo","normtime","acttimenorm","Intensity","speaker","trial","condition","typicality","target_name","target_colour","competitor_name","competitor_colour","distractor1_name","distractor1_colour","distractor2_name","distractor2_colour","object_en","colour_en","typ_mean","typ_sd","typ_median","max_intensity"
"AL_12","AL",448.949757079903,452.024590481478,"NF","",12,0.226385277055411,449.381550048077,66.8229465854234,"AL",12,"AF",NA,"Trauben","orange","Trauben","gelb","Socken","braun","Socken","rot","grapes","orange",5.87128712871287,14.3740483972586,0,66.8229465854234
"AL_13","AL",463.37807438128,466.178265084015,"NF","",13,0.206581316263253,463.709683282264,69.3965132839441,"AL",13,"NF","atypical","Paprika","braun","Sonnenbrille","braun","Bueroklammer","gelb","Socken","rot","pepper","brown",7.77227722772277,16.4407306334717,0,69.3965132839441
"AL_16","AL",507.366571132985,510.862916102311,"NF","",16,0.221344268853771,507.837972715166,72.2709423018008,"AL",16,"ANF",NA,"Mandarine","orange","Zitrone","gelb","Bueroklammer","gruen","Aubergine","gruen","mandarine","orange",98.7029702970297,4.73190142428061,100,72.2709423018008
"AL_18","AL",538.035381983698,540.342927062621,"NF","",18,0.19127825565113,538.269413861076,69.4605247629426,"AL",18,"AF",NA,"Sonnenbrille","braun","Sonnenbrille","gruen","Bueroklammer","orange","Socken","gelb","suglasses","brown",52.039603960396,24.2032728332675,57,69.4605247629426
"AL_23","AL",607.732604046083,610.885065630826,"NF","",23,0.682776555311062,609.773915938424,69.0470425090251,"AL",23,"AF",NA,"Waescheklammer","orange","Waescheklammer","gelb","Sonnenbrille","braun","Aubergine","gruen","clothes.peg","orange",65.5544554455445,25.6999903686849,67,69.0470425090251
"AL_24","AL",622.350806181309,625.72424315957,"NF","",24,0.231966393278656,622.84545097128,67.8970239165247,"AL",24,"NF","atypical","Kirsche","gelb","Sonnenbrille","gelb","Birne","rot","Socken","orange","cherry","yellow",1.38613861386139,3.98489723086983,0,67.8970239165247
"AL_27","AL",678.597068214626,681.588388833253,"NF","",27,0.239707941588318,679.061414043802,68.2384405558435,"AL",27,"NF","medium","Tomate","gruen","Socken","gruen","Aubergine","gelb","Sonnenbrille","braun","tomato","green",25.990099009901,28.5105226362145,18,68.2384405558435
"AL_29","AL",706.58627153334,709.729548319941,"NF","",29,0.224584916983397,707.021388063912,67.8867456212061,"AL",29,"NF","medium","Banane","braun","Bueroklammer","braun","Socken","rot","Avokado","rot","banana","brown",27.6435643564356,28.3332257811975,22,67.8867456212061
"AL_3","AL",316.8549669485,320.580173055397,"NF","",3,0.571334266853371,318.805875047691,68.8581990140125,"AL",3,"ANF",NA,"Erbsen","gelb","Bohnen","gruen","Socken","braun","Socken","rot","peas","yellow",34.5742574257426,33.0633774846592,27,68.8581990140125
"AL_31","AL",734.311463487518,737.322444380583,"NF","",31,0.285977195439088,734.933656578644,70.1082035534815,"AL",31,"NF","atypical","Trauben","orange","Bueroklammer","orange","Zucchini","rot","Birne","rot","grapes","orange",5.87128712871287,14.3740483972586,0,70.1082035534815
"AL_33","AL",763.205980696027,766.378978031276,"NF","",33,0.283636727345469,763.853401636606,68.7723503493191,"AL",33,"NF","typical","Bohnen","gruen","Sonnenbrille","gruen","Bueroklammer","orange","Socken","braun","beans","green",96.8118811881188,7.0650022948151,100,68.7723503493191
"AL_36","AL",824.081010005202,827.170990369347,"NF","",36,0.269053810762152,824.661424400467,69.595487814807,"AL",36,"NF","medium","Erbsen","gelb","Waescheklammer","gelb","Aubergine","gruen","Bueroklammer","orange","peas","yellow",34.5742574257426,33.0633774846592,27,69.595487814807
"AL_38","AL",851.54823354338,854.505677985043,"NF","",38,0.190558111622324,851.845811969897,68.4170320564409,"AL",38,"ANF",NA,"Erbsen","gelb","Bohnen","gruen","Socken","braun","Socken","rot","peas","yellow",34.5742574257426,33.0633774846592,27,68.4170320564409
"AL_42","AL",908.316786591278,911.22216334911,"NF","",42,0.566113222644529,909.821491617489,71.0624755117248,"AL",42,"AF",NA,"Moehre","gruen","Moehre","orange","Socken","rot","Socken","braun","carrots","green",3.99009900990099,13.9165333682674,0,71.0624755117248
"AL_45","AL",949.449744428962,952.15513394662,"NF","",45,0.231786357271454,949.845892683998,69.5833454166751,"AL",45,"NF","typical","Mandarine","orange","Socken","orange","Sonnenbrille","braun","Aubergine","gelb","mandarine","orange",98.7029702970297,4.73190142428061,100,69.5833454166751
"AL_46","AL",962.788364208168,965.58108543189,"NF","",46,0.231966393278656,963.197859038532,68.837928838893,"AL",46,"ANF",NA,"Walnuss","braun","Erdbeere","rot","Aubergine","gruen","Aubergine","gelb","walnut","brown",97.4554455445545,11.250355329922,100,68.837928838893
"AL_49","AL",1005.25179750272,1008.13054874041,"NF","",49,0.218103620724145,1005.62956521865,70.7445170860633,"AL",49,"NF","typical","Zitrone","gelb","Socken","gelb","Avokado","rot","Bueroklammer","gruen","lemon","yellow",99.6039603960396,2.37940836310538,100,70.7445170860633
"AL_5","AL",348.447739348171,351.276434607995,"NF","",5,0.239347869573915,348.885708968316,69.6949250830269,"AL",5,"ANF",NA,"Zitrone","gelb","Tomate","gruen","Bueroklammer","orange","Avokado","rot","lemon","yellow",99.6039603960396,2.37940836310538,100,69.6949250830269
"AL_51","AL",1033.99188993913,1036.44380450504,"NF","",51,0.240068013602721,1034.37348416443,67.913039765519,"AL",51,"ANF",NA,"Mandarine","orange","Zitrone","gelb","Bueroklammer","gruen","Aubergine","gruen","mandarine","orange",98.7029702970297,4.73190142428061,100,67.913039765519
"AL_56","AL",1102.10508282883,1104.58764632681,"NF","",56,0.206041208241648,1102.39758730978,68.2918602302686,"AL",56,"AF",NA,"Sonnenbrille","gelb","Sonnenbrille","rot","Aubergine","gruen","Bueroklammer","orange","suglasses","yellow",53.7524752475247,23.2113790803537,56,68.2918602302686
